Unnamed: 0,Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
0,Pinocchio,1940,G,23 Feb 1940,88,Won 2 Oscars. 7 wins total,99,7.4,"140,877",tt0032910
1,Blackbeard's Ghost,1968,Approved,08 Feb 1968,106,,71,6.8,"5,906",tt0062737
2,Snow White and the Seven Dwarfs,1937,Approved,04 Feb 1938,83,Won 1 Oscar. 11 wins & 6 nominations total,95,7.6,"194,079",tt0029583
3,Fantasia,1940,G,19 Sep 1941,125,Won 2 Oscars. 8 wins & 1 nomination total,96,7.7,"94,045",tt0032455
4,Song of the South,1946,G,20 Nov 1946,94,Won 2 Oscars. 2 wins & 1 nomination total,54,7.1,"13,653",tt0038969
5,Cinderella,1950,G,04 Mar 1950,74,Nominated for 3 Oscars. 6 wins & 7 nominations total,85,7.3,"155,521",tt0042332
6,"20,000 Leagues Under the Sea",1954,G,20 Jul 1955,127,Won 2 Oscars. 5 wins & 3 nominations total,83,7.2,"33,019",tt0046672
7,Lady and the Tramp,1955,G,22 Jun 1955,76,Nominated for 1 BAFTA Film Award1 win & 2 nominations total,78,7.3,"131,997",tt0048280
8,Sleeping Beauty,1959,G,29 Jan 1959,75,Nominated for 1 Oscar. 4 wins & 6 nominations total,85,7.3,"145,172",tt0053285
9,The Absent Minded Professor,1961,Approved,16 Mar 1961,92,Nominated for 3 Oscars. 1 win & 8 nominations total,75,6.8,"8,176",tt0054594
10,Babes in Toyland,1961,Approved,14 Dec 1961,106,Nominated for 2 Oscars. 1 win & 6 nominations total,55,6.2,"4,118",tt0054649
11,Bon Voyage!,1962,Not Rated,17 May 1962,130,Nominated for 2 Oscars. 2 nominations total,-1,5.7,666,tt0055807
12,The Sword in the Stone,1963,G,21 Jun 1964,79,Nominated for 1 Oscar. 1 win & 1 nomination total,61,7.2,"95,566",tt0057546
13,The Jungle Book,1967,G,18 Oct 1967,78,Nominated for 1 Oscar. 6 wins & 3 nominations total,65,7.6,"176,850",tt0061852
14,The Aristocats,1970,G,24 Dec 1970,78,3 wins,66,7.1,"101,059",tt0065421
15,The Boatniks,1970,G,01 Jul 1970,99,,-1,5.5,770,tt0065482
16,Bedknobs and Broomsticks,1971,G,13 Dec 1971,117,Won 1 Oscar. 2 wins & 5 nominations total,59,7.1,"36,809",tt0066817
17,The Apple Dumpling Gang,1975,G,01 Jul 1975,100,,59,6.4,"5,711",tt0072653
18,The Many Adventures of Winnie the Pooh,1977,G,11 Mar 1977,74,1 nomination,-1,7.5,"35,522",tt0076363
19,The Rescuers,1977,G,22 Jun 1977,78,Nominated for 1 Oscar. 2 wins & 1 nomination total,74,6.9,"62,523",tt0076618
20,Herbie Goes to Monte Carlo,1977,G,24 Jun 1977,105,,38,5.7,"7,357",tt0076137
21,The Black Hole,1979,PG,21 Dec 1979,98,Nominated for 2 Oscars. 8 nominations total,52,6.0,"25,130",tt0078869
22,Midnight Madness,1980,PG,08 Feb 1980,112,,28,6.4,"3,490",tt0081159
23,The Last Flight of Noah's Ark,1980,G,25 Jun 1980,97,4 nominations,-1,5.8,"1,382",tt0081031
24,The Devil and Max Devlin,1981,PG,06 Mar 1981,96,,-1,5.1,"1,289",tt0082263
25,Amy,1981,G,20 Mar 1981,100,2 nominations,-1,6.6,458,tt0082017
26,The Fox and the Hound,1981,G,10 Jul 1981,83,1 win & 2 nominations,65,7.3,"90,916",tt0082406
27,Condorman,1981,PG,07 Aug 1981,90,,46,5.7,"4,862",tt0082199
28,Night Crossing,1982,PG,05 Feb 1982,107,2 nominations,-1,6.5,"1,415",tt0082810
29,TRON,1982,PG,09 Jul 1982,96,Nominated for 2 Oscars. 2 wins & 8 nominations total,58,6.8,"118,943",tt0084827
30,Tex,1982,PG,30 Jul 1982,103,3 nominations,78,6.5,"2,204",tt0084783
31,Trenchcoat,1983,PG,11 Mar 1983,91,,-1,5.3,502,tt0086476
32,Something Wicked This Way Comes,1983,PG,29 Apr 1983,95,2 wins & 7 nominations,-1,6.8,"9,159",tt0086336
33,Never Cry Wolf,1983,PG,27 Jan 1984,105,Nominated for 1 Oscar. 4 wins & 3 nominations total,-1,7.5,"8,099",tt0086005
34,Running Brave,1983,PG,04 Nov 1983,106,1 nomination,-1,6.7,721,tt0086220
35,Splash,1984,PG,09 Mar 1984,111,Nominated for 1 Oscar. 2 wins & 9 nominations total,71,6.3,"75,582",tt0088161
36,Country,1984,PG,29 Sep 1984,105,Nominated for 1 Oscar. 1 win & 3 nominations total,-1,6.7,"2,027",tt0087091
37,Baby: Secret of the Lost Legend,1985,PG,22 Mar 1985,95,1 nomination,-1,5.1,"3,292",tt0088760
38,Return to Oz,1985,PG,21 Jun 1985,113,Nominated for 1 Oscar. 6 nominations total,42,6.8,"26,772",tt0089908
39,The Black Cauldron,1985,PG,24 Jul 1985,80,,59,6.4,"35,248",tt0088814
40,My Science Project,1985,PG,09 Aug 1985,94,,38,6.1,"5,777",tt0089652
41,The Journey of Natty Gann,1985,PG,27 Sep 1985,101,Nominated for 1 Oscar. 1 win & 3 nominations total,66,7.0,"6,028",tt0089385
42,One Magic Christmas,1985,G,22 Nov 1985,89,2 wins & 7 nominations,-1,6.5,"3,786",tt0089731
43,Down and Out in Beverly Hills,1986,R,31 Jan 1986,103,1 win & 5 nominations,82,6.2,"18,389",tt0090966
44,Off Beat,1986,PG,11 Apr 1986,92,,-1,5.0,947,tt0091668
45,Ruthless People,1986,R,27 Jun 1986,93,1 win & 3 nominations,78,6.9,"27,906",tt0091877
46,The Great Mouse Detective,1986,G,02 Jul 1986,74,1 win & 3 nominations,73,7.2,"48,473",tt0091149
47,Flight of the Navigator,1986,PG,01 Aug 1986,90,4 nominations,64,6.9,"47,370",tt0091059
48,Tough Guys,1986,PG,03 Oct 1986,104,1 nomination,54,6.2,"7,144",tt0092105
49,The Color of Money,1986,R,17 Oct 1986,119,Won 1 Oscar. 3 wins & 10 nominations total,77,7.0,"81,054",tt0090863
50,Outrageous Fortune,1987,R,30 Jan 1987,99,2 wins & 1 nomination,55,6.2,"8,025",tt0093690
51,Tin Men,1987,R,13 Mar 1987,112,,75,6.6,"8,500",tt0094155
52,Ernest Goes to Camp,1987,PG,22 May 1987,92,1 nomination,24,5.5,"11,450",tt0092974
53,Benji the Hunted,1987,G,19 Jun 1987,88,1 win & 1 nomination,53,6.3,"3,049",tt0092638
54,Adventures in Babysitting,1987,PG-13,03 Jul 1987,102,2 wins & 4 nominations,45,6.9,"42,846",tt0092513
55,Stakeout,1987,R,05 Aug 1987,117,2 wins,69,6.7,"25,673",tt0094025
56,Can't Buy Me Love,1987,PG-13,14 Aug 1987,94,1 win & 3 nominations,36,6.8,"36,209",tt0092718
57,Hello Again,1987,PG,06 Nov 1987,96,1 nomination,-1,5.3,"3,450",tt0093175
58,"Good Morning, Vietnam",1987,R,15 Jan 1988,121,Nominated for 1 Oscar. 7 wins & 4 nominations total,67,7.3,"136,423",tt0093105
59,Shoot to Kill,1988,R,12 Feb 1988,110,2 nominations,56,6.8,"13,198",tt0096098
60,D.O.A.,1988,R,18 Mar 1988,96,,-1,6.2,"10,175",tt0094933
61,Return to Snowy River,1988,PG,15 Apr 1988,99,2 nominations,-1,6.6,"2,513",tt0095993
62,Big Business,1988,PG,10 Jun 1988,97,1 win & 1 nomination,53,6.5,"13,753",tt0094739
63,Who Framed Roger Rabbit,1988,PG,22 Jun 1988,104,Won 4 Oscars. 24 wins & 21 nominations total,83,7.7,"194,997",tt0096438
64,Cocktail,1988,R,29 Jul 1988,104,5 wins & 6 nominations,12,5.9,"83,740",tt0094889
65,The Rescue,1988,PG,05 Aug 1988,97,1 nomination,-1,5.5,"1,240",tt0095981
66,Heartbreak Hotel,1988,PG-13,30 Sep 1988,97,2 nominations,-1,5.7,"1,380",tt0095288
