Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
101 Dalmatians,1996,G,27 Nov 1996,103,Nominated for 1 BAFTA Film Award3 wins & 10 nominations total,49.0,5.7,"109,762",tt0115433
102 Dalmatians,2000,G,22 Nov 2000,100,Nominated for 1 Oscar. 1 win & 8 nominations total,35.0,4.9,"37,045",tt0211181
1492: Conquest of Paradise,1992,PG-13,09 Oct 1992,154,2 nominations,47.0,6.5,"29,898",tt0103594
"20,000 Leagues Under the Sea",1954,G,20 Jul 1955,127,Won 2 Oscars. 5 wins & 3 nominations total,83.0,7.2,"33,019",tt0046672
25th Hour,2002,R,10 Jan 2003,135,4 wins & 17 nominations,68.0,7.6,"176,763",tt0307901
3 Ninjas,1992,PG,07 Aug 1992,84,1 nomination,36.0,5.3,"21,478",tt0103596
3 Ninjas Kick Back,1994,PG,06 May 1994,93,3 nominations,39.0,4.6,"9,141",tt0109015
A Beautiful Planet,2016,G,29 Apr 2016,46,1 win & 1 nomination,75.0,7.3,"1,367",tt2800050
A Bug's Life,1998,G,25 Nov 1998,95,Nominated for 1 Oscar. 14 wins & 21 nominations total,77.0,7.2,"284,819",tt0120623
A Civil Action,1998,PG-13,08 Jan 1999,115,Nominated for 2 Oscars. 5 wins & 10 nominations total,68.0,6.6,"28,628",tt0120633
A Far Off Place,1993,PG,12 Mar 1993,108,NA,-1.0,6.5,"3,556",tt0106868
A Goofy Movie,1995,G,07 Apr 1995,78,5 nominations,-1.0,6.9,"52,129",tt0113198
A Kid in King Arthur's Court,1995,PG,11 Aug 1995,89,1 nomination,34.0,4.8,"6,143",tt0113538
A Lot Like Love,2005,PG-13,22 Apr 2005,107,1 win & 3 nominations,48.0,6.6,"68,921",tt0391304
A Low Down Dirty Shame,1994,R,23 Nov 1994,108,1 nomination,-1.0,5.9,"7,204",tt0110399
A Pyromaniac's Love Story,1995,PG,28 Apr 1995,94,NA,-1.0,5.4,"1,063",tt0114210
A Simple Twist of Fate,1994,PG-13,02 Sep 1994,106,2 nominations,-1.0,6.3,"5,540",tt0111194
A Stranger Among Us,1992,PG-13,17 Jul 1992,110,1 win & 3 nominations,-1.0,5.6,"3,827",tt0105483
A Thousand Acres,1997,R,19 Sep 1997,105,2 wins & 1 nomination,-1.0,6.1,"5,485",tt0120323
A Wrinkle in Time,2018,PG,09 Mar 2018,109,5 wins & 15 nominations,53.0,4.2,"44,243",tt1620680
Adventures in Babysitting,1987,PG-13,03 Jul 1987,102,2 wins & 4 nominations,45.0,6.9,"42,846",tt0092513
