Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
"20,000 Leagues Under the Sea",1954,G,20 Jul 1955,127,Won 2 Oscars. 5 wins & 3 nominations total,83.0,7.2,"33,019",tt0046672
3 Ninjas,1992,PG,07 Aug 1992,84,1 nomination,36.0,5.3,"21,478",tt0103596
A Civil Action,1998,PG-13,08 Jan 1999,115,Nominated for 2 Oscars. 5 wins & 10 nominations total,68.0,6.6,"28,628",tt0120633
A Kid in King Arthur's Court,1995,PG,11 Aug 1995,89,1 nomination,34.0,4.8,"6,143",tt0113538
A Low Down Dirty Shame,1994,R,23 Nov 1994,108,1 nomination,-1.0,5.9,"7,204",tt0110399
Alive,1993,R,15 Jan 1993,120,1 win & 1 nomination,56.0,7.1,"54,692",tt0106246
An Innocent Man,1989,R,06 Oct 1989,113,NA,39.0,6.5,"6,813",tt0097579
Angie,1994,R,04 Mar 1994,107,1 nomination,-1.0,5.5,"2,193",tt0109129
Ant-Man,2015,PG-13,17 Jul 2015,117,Nominated for 1 BAFTA Film Award4 wins & 34 nominations total,64.0,7.3,"635,594",tt0478970
Ant-Man and the Wasp,2018,PG-13,06 Jul 2018,118,2 wins & 21 nominations,70.0,7.0,"373,149",tt5095030
Arachnophobia,1990,PG-13,18 Jul 1990,109,2 wins & 5 nominations,67.0,6.5,"68,662",tt0099052
Armageddon,1998,PG-13,01 Jul 1998,151,Nominated for 4 Oscars. 15 wins & 40 nominations total,42.0,6.7,"416,798",tt0120591
Around the World in 80 Days,2004,PG,16 Jun 2004,120,2 wins & 2 nominations,49.0,5.8,"88,965",tt0327437
Aspen Extreme,1993,PG-13,22 Jan 1993,113,NA,32.0,6.0,"2,931",tt0106315
Avengers: Age of Ultron,2015,PG-13,01 May 2015,141,8 wins & 51 nominations,66.0,7.3,"823,277",tt2395427
Avengers: Endgame,2019,PG-13,26 Apr 2019,181,Nominated for 1 Oscar. 70 wins & 132 nominations total,78.0,8.4,"1,030,512",tt4154796
Avengers: Infinity War,2018,PG-13,27 Apr 2018,149,Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,"995,851",tt4154756
Baby: Secret of the Lost Legend,1985,PG,22 Mar 1985,95,1 nomination,-1.0,5.1,"3,292",tt0088760
Beaches,1988,PG-13,13 Jan 1989,123,Nominated for 1 Oscar. 1 win & 6 nominations total,46.0,7.0,"25,694",tt0094715
Betsy's Wedding,1990,R,22 Jun 1990,94,3 nominations,52.0,5.6,"3,716",tt0099128
Beverly Hills Chihuahua,2008,PG,03 Oct 2008,91,3 wins & 6 nominations,41.0,3.8,"24,030",tt1014775
Black Widow,2021,PG-13,09 Jul 2021,134,8 wins & 28 nominations,67.0,6.7,"343,512",tt3480822
Blackbeard's Ghost,1968,Approved,08 Feb 1968,106,NA,71.0,6.8,"5,906",tt0062737
Blame It on the Bellboy,1992,PG-13,06 Mar 1992,78,NA,-1.0,5.5,"2,668",tt0103827
Blaze,1989,R,13 Dec 1989,120,Nominated for 1 Oscar. 1 win & 3 nominations total,67.0,6.0,"3,874",tt0096943
Bolt,2008,PG,21 Nov 2008,96,Nominated for 1 Oscar. 1 win & 32 nominations total,67.0,6.9,"204,674",tt0397892
Born Yesterday,1993,PG,26 Mar 1993,100,1 nomination,-1.0,5.2,"3,928",tt0106466
Born in China: Wading Through Wetlands,2017,NA,29 Aug 2017,-1,NA,-1.0,-1.0,-1,tt11155970
Boys,1996,PG-13,10 May 1996,86,NA,-1.0,4.9,"3,662",tt0115742
Brave,2012,PG,22 Jun 2012,93,Won 1 Oscar. 20 wins & 48 nominations total,69.0,7.1,"398,727",tt1217209
Bridge to Terabithia,2007,PG,16 Feb 2007,96,6 wins & 5 nominations,74.0,7.2,"152,975",tt0398808
Bubble Boy,2001,PG-13,24 Aug 2001,84,1 nomination,41.0,5.7,"32,962",tt0258470
Cabin Boy,1994,PG-13,07 Jan 1994,80,2 nominations,21.0,5.3,"8,597",tt0109361
Calendar Girls,2003,PG-13,01 Jan 2004,108,2 wins & 16 nominations,60.0,6.9,"26,050",tt0337909
Camp Nowhere,1994,PG,26 Aug 1994,96,NA,-1.0,6.0,"9,615",tt0109369
Can't Buy Me Love,1987,PG-13,14 Aug 1987,94,1 win & 3 nominations,36.0,6.8,"36,209",tt0092718
Cars,2006,G,09 Jun 2006,117,Nominated for 2 Oscars. 28 wins & 34 nominations total,73.0,7.1,"402,283",tt0317219
Cars 2,2011,G,24 Jun 2011,106,1 win & 19 nominations,57.0,6.2,"179,255",tt1216475
Cars 3,2017,G,16 Jun 2017,102,1 win & 24 nominations,59.0,6.7,"91,875",tt3606752
Celtic Pride,1996,PG-13,19 Apr 1996,91,NA,-1.0,5.3,"10,016",tt0115851
Cinderella,1950,G,04 Mar 1950,74,Nominated for 3 Oscars. 6 wins & 7 nominations total,85.0,7.3,"155,521",tt0042332
Cocktail,1988,R,29 Jul 1988,104,5 wins & 6 nominations,12.0,5.9,"83,740",tt0094889
Cold Creek Manor,2003,R,19 Sep 2003,118,1 nomination,37.0,5.0,"22,532",tt0331468
Condorman,1981,PG,07 Aug 1981,90,NA,46.0,5.7,"4,862",tt0082199
Consenting Adults,1992,R,16 Oct 1992,99,1 nomination,39.0,5.7,"7,446",tt0104006
Country,1984,PG,29 Sep 1984,105,Nominated for 1 Oscar. 1 win & 3 nominations total,-1.0,6.7,"2,027",tt0087091
Coyote Ugly,2000,PG-13,04 Aug 2000,100,4 wins & 8 nominations,27.0,5.7,"112,461",tt0200550
Cruella,2021,PG-13,28 May 2021,134,Nominated for 2 Oscars. 23 wins & 39 nominations total,59.0,7.4,"214,255",tt3228774
Dark Water,2005,PG-13,08 Jul 2005,105,6 nominations,52.0,5.6,"61,886",tt0382628
Dead Presidents,1995,R,06 Oct 1995,119,2 nominations,-1.0,6.9,"21,805",tt0112819
Deceived,1991,PG-13,27 Sep 1991,104,NA,-1.0,6.1,"7,247",tt0101694
Doctor Strange,2016,PG-13,04 Nov 2016,115,Nominated for 1 Oscar. 20 wins & 68 nominations total,72.0,7.5,"685,849",tt1211837
Doug's 1st Movie,1999,G,26 Mar 1999,77,1 nomination,-1.0,5.0,"3,221",tt0187819
Down and Out in Beverly Hills,1986,R,31 Jan 1986,103,1 win & 5 nominations,82.0,6.2,"18,389",tt0090966
Duets,2000,R,15 Sep 2000,112,1 nomination,40.0,6.1,"9,550",tt0134630
Déjà Vu,2006,NA,19 Mar 2006,-1,NA,-1.0,7.8,5,tt5649074
Eight Below,2006,PG,17 Feb 2006,120,2 wins & 2 nominations,64.0,7.3,"64,146",tt0397313
"Frank McKlusky, C.I.",2002,PG-13,27 Jun 2002,83,NA,-1.0,4.1,"1,388",tt0281865
Frozen,2013,PG,27 Nov 2013,102,Won 2 Oscars. 82 wins & 60 nominations total,75.0,7.5,"607,860",tt2294629
Funny Bones,1995,R,31 Mar 1995,128,8 wins,-1.0,6.8,"3,713",tt0113133
George of the Jungle,1997,PG,16 Jul 1997,92,1 win & 3 nominations,53.0,5.5,"76,087",tt0119190
Glory Road,2006,PG,13 Jan 2006,118,5 nominations,58.0,7.2,"45,390",tt0385726
