Character,Original voice actor,Animated debut
Abby Mallard,Joan Cusack[1],Chicken Little
Abigail Callaghan,Katie Lowes,Big Hero 6
Abigail Gabble,Monica Evans[2],The Aristocats
Abu,Frank Welker[3],Aladdin
Abuela Alma Madrigal,María Cecilia BoteroOlga Merediz,Encanto
Achilles,Bob Bergen[4],The Hunchback of Notre Dame
Adella,Sherry Lynn[5],The Little Mermaid
Adelaide,Hermione Baddeley,The Aristocats
Adorabeezle Winterpop,None,Wreck-It Ralph
The Agent,Greg Germann[6],Bolt
Agent Wendy Pleakley,Kevin McDonald[7],Lilo & Stitch
Agustín Madrigal,Wilmer Valderrama,Encanto
Ajax the Gorilla,James McDonald,Donald Duck and the Gorilla
Akela,John Abbott[8],The Jungle Book
Al the Alligator,Thurl Ravenscroft[9],Lady and the Tramp
Aladar,D. B. Sweeney[10],Dinosaur
Aladdin,Scott WeingerBrad Kane[3],Aladdin
Alameda Slim,Randy Quaid[11],Home on the Range
Alan-a-Dale,Roger Miller[12],Robin Hood
Alana,Kimmy Robertson[5],The Little Mermaid
Albus Duckweed,Kevin McDonald,Amphibia
Alcmene,Barbara Barrie[13],Hercules
Alfonso Dolittle,Matt Chapman,Star vs. the Forces of Evil
Alice,Kathryn Beaumont[14],Alice in Wonderland
Alice Bluebonnet,None,Make Mine Music
Alice's Sister,Heather Angel[14],Alice in Wonderland
Ally and Jess the IT Gals,Melissa Villaseñor (Ally)Dana Davis (Jess),Amphibia
Amelia Gabble,Carole Shelley[2],The Aristocats
Amity Blight,Mae Whitman,The Owl House
Amos Slade,Jack Albertson[15],The Fox and the Hound
Amphitryon,Hal Holbrook[13],Hercules
Anastasia Tremaine,Lucille Bliss[16],Cinderella
Andrea Davenport,Jules Medcraft,The Ghost and Molly McGee
Andrina,Tara Strong,The Little Mermaid
Andromeda,Nicole Byer,Big City Greens
Angie Diaz,Nia Vardalos,Star vs. the Forces of Evil
Angus MacBadger,Campbell Grant[17],The Adventures of Ichabod and Mr. Toad
Animal,Dee Bradley Baker,Muppet Babies
Anita Radcliffe,Lisa Davis[18],101 Dalmatians
Anna,Kristen Bell,Frozen
Anne Boonchuy,Brenda Song,Amphibia
Annette,Debi Derryberry[19],Lady and the Tramp II: Scamp's Adventure
Antonio Madrigal,Ravi Cabot-Conyers,Encanto
April,None,House of Mouse
Apollo,Keith David[13],Hercules
