Rank,Movie,Release_Date,Genre,MPAA_Rating,Gross,Tickets Sold
1,Star Wars Ep. VIII: The Last Jedi,"Dec 15, 2017",Adventure,PG-13,"$517,218,368","57,660,910"
2,Beauty and the Beast,"Mar 17, 2017",Musical,PG,"$504,014,165","56,188,870"
3,Guardians of the Galaxy Vol 2,"May 5, 2017",Action,PG-13,"$389,813,101","43,457,424"
4,Thor: Ragnarok,"Nov 3, 2017",Action,PG-13,"$311,225,150","34,696,226"
5,Coco,"Nov 22, 2017",Musical,PG,"$179,834,199","20,048,405"
6,Pirates of the Caribbean: Dead Men Tell No Tales,"May 26, 2017",Adventure,PG-13,"$172,558,876","19,237,332"
7,Hidden Figures,"Feb 12, 2021",Drama,PG,"$167,620,331","18,686,770"
8,Cars 3,"Jun 16, 2017",Adventure,G,"$152,901,115","17,045,832"
9,Rogue One: A Star Wars Story,"Dec 16, 2016",Adventure,PG-13,"$107,189,617","11,949,790"
10,Moana,"Nov 23, 2016",Musical,PG,"$38,710,930","4,315,599"
11,Born in China,"Apr 21, 2017",Documentary,G,"$13,873,211","1,546,623"
12,Doctor Strange,"Nov 4, 2016",Action,PG-13,"$2,534,130","282,511"
13,Queen of Katwe,"Sep 23, 2016",Drama,PG,"$17,078","1,903"
1,Black Panther,"Feb 16, 2018",Action,PG-13,"$700,059,566","76,845,177"
2,Avengers: Infinity War,"Apr 27, 2018",Action,PG-13,"$678,815,482","74,513,225"
3,Incredibles 2,"Jun 15, 2018",Adventure,PG,"$608,581,744","66,803,704"
4,Ant-Man and the Wasp,"Jul 6, 2018",Action,PG-13,"$216,648,740","23,781,420"
5,Solo: A Star Wars Story,"May 25, 2018",Adventure,PG-13,"$213,767,512","23,465,149"
6,Ralph Breaks The Internet,"Nov 21, 2018",Adventure,PG,"$187,152,693","20,543,654"
7,Mary Poppins Returns,"Dec 19, 2018",Musical,PG,"$138,817,262","15,237,899"
8,Star Wars Ep. VIII: The Last Jedi,"Dec 15, 2017",Adventure,PG-13,"$102,963,014","11,302,196"
9,A Wrinkle in Time,"Mar 9, 2018",Adventure,PG,"$100,478,608","11,029,484"
10,Christopher Robin,"Aug 3, 2018",Adventure,PG,"$99,215,042","10,890,783"
11,The Nutcracker and the Four Realms,"Nov 2, 2018",Adventure,PG,"$54,785,758","6,013,804"
12,Coco,"Nov 22, 2017",Musical,PG,"$29,891,816","3,281,209"
13,Thor: Ragnarok,"Nov 3, 2017",Action,PG-13,"$3,833,139","420,761"
1,Avengers: Endgame,"Apr 26, 2019",Action,PG-13,"$858,373,000","93,708,843"
2,The Lion King,"Jul 19, 2019",Adventure,PG,"$543,638,043","59,349,131"
3,Frozen II,"Nov 22, 2019",Adventure,PG,"$450,439,533","49,174,621"
4,Toy Story 4,"Jun 21, 2019",Adventure,G,"$434,038,008","47,384,062"
5,Captain Marvel,"Mar 8, 2019",Action,PG-13,"$426,829,839","46,597,144"
6,Star Wars: The Rise of Skywalker,"Dec 20, 2019",Adventure,PG-13,"$390,706,234","42,653,519"
7,Aladdin,"May 24, 2019",Adventure,PG,"$355,559,216","38,816,508"
