Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Ice Age: A Mammoth Christmas,2011,TV-PG,24 Nov 2011,26,"Animation, Short, Adventure, Comedy, Family, Fantasy",Karen Disher,"Sam Harper, Mike Reiss","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah",English,USA,1 nomination.,-1.0,6.5,"9,671",tt2100546
The Queen Family Singalong,2021,TV-PG,04 Nov 2021,41,"Music, Musical",Hamish Hamilton,Brian Strickland,"Darren Criss, Adam Lambert, Jimmie Allen",English,United States,NA,-1.0,5.9,86,tt15716286
The Beatles: Get Back,2021,PG-13,25 Nov 2021,-1,"Documentary, Biography, Music",Peter Jackson,NA,"The Beatles, John Lennon, Paul McCartney",English,"United Kingdom, New Zealand, United States",4 wins & 4 nominations,-1.0,9.1,"18,501",tt9735318
Becoming Cousteau,2021,PG-13,24 Nov 2021,94,"Documentary, Adventure, Biography",Liz Garbus,"Mark Monroe, Pax Wassermann","Vincent Cassel, Carol Burnett, Louis Malle","English, French",United States,Nominated for 1 BAFTA Film Award2 wins & 11 nominations total,74.0,7.1,834,tt10334438
Hawkeye,2021,TV-14,24 Nov 2021,60,"Action, Adventure, Crime",NA,NA,"Jeremy Renner, Hailee Steinfeld, Florence Pugh","English, American Sign ",United States,8 nominations,-1.0,7.7,"142,549",tt10160804
A Muppets Christmas: Letters to Santa,2008,G,17 Dec 2008,60,"Comedy, Family, Music",Kirk R. Thatcher,"Hugh Fink (teleplay by), Scott Ganz (teleplay by), Andrew Samson (teleplay by), Paul Williams (teleplay by), Paul Williams (story by), Hugh Fink (story by), Scott Ganz (story by), Andrew Samson (story by)","Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",English,USA,NA,-1.0,6.6,"1,534",tt1292569
Adventure Thru the Walt Disney Archives,2020,TV-PG,27 Jun 2020,60,Documentary,John Gleim,John Gleim,"Kathryn Beaumont, Michael Buckhoff, Marcy Carriker",English,United States,NA,-1.0,8.1,54,tt15222206
Puppy for Hanukkah,2020,NA,03 Dec 2020,4,"Short, Music",Alexander Gradet,NA,NA,English,USA,NA,-1.0,-1.0,-1,tt13596276
The Pixar Story,2007,G,28 Aug 2007,87,Documentary,Leslie Iwerks,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird",English,United States,Nominated for 1 Primetime Emmy. 2 nominations total,-1.0,7.8,"6,565",tt1059955
Ciao Alberto,2021,G,12 Nov 2021,8,"Animation, Short, Comedy",McKenna Harris,"Matthias De Clercq, Brooklyn El-Omar, McKenna Harris","Jack Dylan Grazer, Marco Barricelli, Jacob Tremblay","English, Italian",United States,NA,-1.0,6.9,"4,829",tt15476620
Feast,2014,G,07 Nov 2014,6,"Animation, Short, Comedy",Patrick Osborne,"Nicole Mitchell, Raymond S. Persi, Patrick Osborne","Steve Apostolina, Kirk Baily, Ben Bledsoe",English,United States,Won 1 Oscar. 3 wins total,-1.0,8.2,"22,918",tt3689498
Frozen Fever,2015,G,13 Mar 2015,8,"Animation, Short, Adventure","Chris Buck, Jennifer Lee","Chris Buck, Jennifer Lee, Marc Smith","Kristen Bell, Idina Menzel, Jonathan Groff",English,United States,NA,-1.0,6.8,"15,858",tt4007502
Get a Horse!,2013,G,27 Nov 2013,6,"Animation, Short, Comedy",Lauren MacMullan,"Lauren MacMullan, Paul Briggs, Nancy Kruse","Walt Disney, Marcellite Garner, Russi Taylor",English,United States,Nominated for 1 Oscar. 2 wins & 2 nominations total,-1.0,7.5,"5,061",tt2980764
Home Sweet Home Alone,2021,PG,12 Nov 2021,93,"Comedy, Crime, Family",Dan Mazer,"Mikey Day, Streeter Seidell, John Hughes","Ellie Kemper, Rob Delaney, Archie Yates",English,United States,NA,35.0,3.6,"15,925",tt11012066
Marvel Studios' 2021 Disney+ Day Special,2021,NA,12 Nov 2021,15,"Documentary, Short",NA,NA,NA,English,United States,NA,-1.0,6.3,68,tt16045628
Olaf Presents,2021,TV-PG,12 Nov 2021,-1,"Animation, Short, Comedy",NA,NA,"Josh Gad, Paul Briggs","Spanish, English",United States,NA,-1.0,7.3,"2,584",tt15475608
Paperman,2012,G,02 Nov 2012,7,"Animation, Short, Comedy",John Kahrs,"Clio Chiang, Kendelle Hoyer","John Kahrs, Kari Wahlgren, Jack Goldenberg",English,United States,Won 1 Oscar. 3 wins & 2 nominations total,-1.0,8.2,"33,077",tt2388725
Pixar 2021 Disney+ Day Special,2021,NA,12 Nov 2021,-1,"Documentary, Short",NA,NA,"Pete Docter, Angus MacLane, Domee Shi",English,United States,NA,-1.0,-1.0,42,tt16026492
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,03 Sep 2021,132,"Action, Adventure, Fantasy",Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung","English, Mandarin",United States,Nominated for 1 Oscar. 17 wins & 52 nominations total,71.0,7.5,"334,590",tt9376612
