Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,total_gross,inflation_adjusted_gross,movieId,title,genres,movie_title,year
101 Dalmatians,1996,G,27 Nov 1996,103.0,Adventure|Comedy|Crime,Adventure|Comedy|Crime,DodieSmith|JohnHughes,GlennClose|JeffDaniels|JoelyRichardson,English|Spanish,UnitedStates|UnitedKingdom,Nominated for 1 BAFTA Film Award3 wins & 10 nominations total,49.0,5.7,109762,tt0115433,153000000.0,1386568896.0,1367.0,101 Dalmatians (1996),Adventure|Children|Comedy,101 Dalmatians,1996.0
101 Dalmatians,1996,G,27 Nov 1996,103.0,Adventure|Comedy|Crime,Adventure|Comedy|Crime,DodieSmith|JohnHughes,GlennClose|JeffDaniels|JoelyRichardson,English|Spanish,UnitedStates|UnitedKingdom,Nominated for 1 BAFTA Film Award3 wins & 10 nominations total,49.0,5.7,109762,tt0115433,136189294.0,235202122.0,1367.0,101 Dalmatians (1996),Adventure|Children|Comedy,101 Dalmatians,1996.0
102 Dalmatians,2000,G,22 Nov 2000,100.0,Adventure|Comedy|Family,Adventure|Comedy|Family,DodieSmith|KristenBuckley|BrianRegan,GlennClose|GérardDepardieu|IoanGruffudd,English,UnitedStates|UnitedKingdom,Nominated for 1 Oscar. 1 win & 8 nominations total,35.0,4.9,37045,tt0211181,66941559.0,105337713.0,3991.0,102 Dalmatians (2000),Adventure|Comedy|Family,102 Dalmatians,2000.0
1492: Conquest of Paradise,1992,PG-13,09 Oct 1992,154.0,Adventure|Biography|Drama,Adventure|Biography|Drama,RoseBosch,GérardDepardieu|ArmandAssante|SigourneyWeaver,English|Spanish|Latin|Arabic,UnitedKingdom|France|Spain,2 nominations,47.0,6.4,29990,tt0103594,7099531.0,13711759.0,8905.0,1492: Conquest of Paradise (1992),Adventure|Biography|Drama,1492: Conquest of Paradise,1992.0
"20,000 Leagues Under the Sea",1954,G,20 Jul 1955,127.0,Adventure|Drama|Family,Adventure|Drama|Family,EarlFelton|JulesVerne,KirkDouglas|JamesMason|PaulLukas,English,UnitedStates,Won 2 Oscars. 5 wins & 3 nominations total,83.0,7.2,33152,tt0046672,28200000.0,284065204.0,1019.0,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,"20,000 Leagues Under the Sea",1954.0
25th Hour,2002,R,10 Jan 2003,135.0,Drama,Drama,DavidBenioff,EdwardNorton|BarryPepper|PhilipSeymourHoffman,English,UnitedStates,4 wins & 17 nominations,68.0,7.6,176763,tt0307901,13084595.0,19708353.0,5954.0,25th Hour (2002),Crime|Drama,25th Hour,2002.0
Three Men and a Baby,1987,PG,25 Nov 1987,102.0,Comedy|Drama|Family,Comedy|Drama|Family,ColineSerreau|JamesOrr|JimCruickshank,TomSelleck|SteveGuttenberg|TedDanson,English,UnitedStates,2 wins & 1 nomination,61.0,6.1,52436,tt0094137,167780960.0,400207805.0,5308.0,Three Men and a Baby (1987),Comedy|Drama|Family,Three Men and a Baby,1987.0
Three Men and a Little Lady,1990,PG,21 Nov 1990,104.0,Comedy|Drama|Family,Comedy|Drama|Family,ColineSerreau|SaraParriott|JosannMcGibbon,TomSelleck|SteveGuttenberg|TedDanson,English,UnitedStates,2 nominations,51.0,5.5,24413,tt0098966,71609321.0,148461956.0,5309.0,Three Men and a Little Lady (1990),Comedy|Drama|Family,Three Men and a Little Lady,1990.0
3 Ninjas,1992,PG,07 Aug 1992,84.0,Action|Comedy|Family,Action|Comedy|Family,KennyKim|EdwardEmanuel,VictorWong|MichaelTreanor|MaxElliottSlade,English,UnitedStates,1 nomination,36.0,5.3,21478,tt0103596,29028000.0,56063557.0,4748.0,3 Ninjas (1992),Action|Children|Comedy,3 Ninjas,1992.0
3 Ninjas Kick Back,1994,PG,06 May 1994,93.0,Action|Comedy|Family,Action|Comedy|Family,Sang-okShin|MarkSaltzman,VictorWong|MaxElliottSlade|SeanFox,English,UnitedStates|Japan,3 nominations,39.0,4.6,9141,tt0109015,11744960.0,21474573.0,4749.0,3 Ninjas Kick Back (1994),Action|Children|Comedy,3 Ninjas Kick Back,1994.0
