Title,Year,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,genres
Ice Age: A Mammoth Christmas,2011,TV-PG,24 Nov 2011,26,Karen Disher,Sam Harper| Mike Reiss,Ray Romano| John Leguizamo| Denis Leary| Queen Latifah,English,USA,1 nomination.,-1.0,6.5,9671,tt2100546,Animation|Short|Adventure|Comedy|Family|Fantasy
The Queen Family Singalong,2021,TV-PG,04 Nov 2021,41,Hamish Hamilton,Brian Strickland,Darren Criss| Adam Lambert| Jimmie Allen,English,United States,,-1.0,5.9,86,tt15716286,Music|Musical
The Beatles: Get Back,2021,PG-13,25 Nov 2021,-1,Peter Jackson,,The Beatles| John Lennon| Paul McCartney,English,United Kingdom| New Zealand| United States,4 wins & 4 nominations,-1.0,9.1,18501,tt9735318,Documentary|Biography|Music
Becoming Cousteau,2021,PG-13,24 Nov 2021,94,Liz Garbus,Mark Monroe| Pax Wassermann,Vincent Cassel| Carol Burnett| Louis Malle,English|French,United States,Nominated for 1 BAFTA Film Award2 wins & 11 nominations total,74.0,7.1,834,tt10334438,Documentary|Adventure|Biography
Hawkeye,2021,TV-14,24 Nov 2021,60,,,Jeremy Renner| Hailee Steinfeld| Florence Pugh,English|AmericanSign,United States,8 nominations,-1.0,7.7,142549,tt10160804,Action|Adventure|Crime
A Muppets Christmas: Letters to Santa,2008,G,17 Dec 2008,60,Kirk R. Thatcher,Hugh Fink (teleplay by)| Scott Ganz (teleplay by)| Andrew Samson (teleplay by)| Paul Williams (teleplay by)| Paul Williams (story by)| Hugh Fink (story by)| Scott Ganz (story by)| Andrew Samson (story by),Steve Whitmire| Dave Goelz| Bill Barretta| Eric Jacobson,English,USA,,-1.0,6.6,1534,tt1292569,Comedy|Family|Music
Adventure Thru the Walt Disney Archives,2020,TV-PG,27 Jun 2020,60,John Gleim,John Gleim,Kathryn Beaumont| Michael Buckhoff| Marcy Carriker,English,United States,,-1.0,8.1,54,tt15222206,Documentary
Puppy for Hanukkah,2020,G,03 Dec 2020,4,Alexander Gradet,,,English,USA,,-1.0,-1.0,-1,tt13596276,Short|Music
The Pixar Story,2007,G,28 Aug 2007,87,Leslie Iwerks,Leslie Iwerks,Stacy Keach| John Lasseter| Brad Bird,English,United States,Nominated for 1 Primetime Emmy. 2 nominations total,-1.0,7.8,6565,tt1059955,Documentary
Ciao Alberto,2021,G,12 Nov 2021,8,McKenna Harris,Matthias De Clercq| Brooklyn El-Omar| McKenna Harris,Jack Dylan Grazer| Marco Barricelli| Jacob Tremblay,English|Italian,United States,,-1.0,6.9,4829,tt15476620,Animation|Short|Comedy
