movieId,title,genres
2085,101 Dalmatians,Adventure|Children|Comedy
3991,102 Dalmatians,Children|Comedy
8905,1492: Conquest of Paradise,Adventure|Drama
62383,"20,000 Leagues Under the Sea",Adventure|Drama|Sci-Fi
5954,25th Hour,Crime|Drama
4748,3 Ninjas,Action|Children|Comedy
4749,3 Ninjas Kick Back,Action|Children|Comedy
161181,A Beautiful Planet,Documentary
160474,Adventures in Babysitting,Comedy
86593,African Cats,Adventure|Documentary
1592,Air Bud,Children|Comedy
200540,Aladdin,Adventure|Fantasy|Romance
158813,Alice Through the Looking Glass,Children|Fantasy
178635,Alice in Wonderland,Fantasy
31429,Aliens of the Deep,Documentary|IMAX
169418,Alive,Drama|Fantasy|Mystery
8637,America's Heart and Soul,Documentary
110597,Angels in the Outfield,Comedy|Fantasy
6788,Angie,Comedy|Drama|Romance
43556,Annapolis,Drama
415,Another Stakeout,Comedy|Thriller
122900,Ant-Man,Action|Adventure|Sci-Fi
48304,Apocalypto,Adventure|Drama|Thriller
2699,Arachnophobia,Comedy|Horror
1917,Armageddon,Action|Romance|Sci-Fi|Thriller
161474,Around the World in 80 Days,Adventure|Drama
5580,Aspen Extreme,Action
4366,Atlantis: The Lost Empire,Adventure|Animation|Children|Fantasy
122892,Avengers: Age of Ultron,Action|Adventure|Sci-Fi
142663,Babes in Toyland,Children|Fantasy|Musical
187431,Bad Company,Western
4474,Beaches,Comedy|Drama|Musical
110678,Bears,Documentary
198403,Beauty and the Beast,Fantasy|Romance
1031,Bedknobs and Broomsticks,Adventure|Children|Musical
65088,Bedtime Stories,Adventure|Children|Comedy
113,Before and After,Drama|Mystery
96259,Beloved,Drama|Musical|Romance
3673,Benji the Hunted,Adventure|Children
5581,Betsy's Wedding,Comedy
63540,Beverly Hills Chihuahua,Adventure|Children|Comedy
3156,Bicentennial Man,Drama|Romance|Sci-Fi
208413,Big Business,Comedy
115617,Big Hero 6,Action|Animation|Comedy
6601,Big Trouble,Comedy|Crime
5689,Billy Bathgate,Crime|Drama
2035,Blackbeard's Ghost,Children|Comedy
2036,Blank Check,Children|Comedy
192491,Blaze,Drama
147539,Bolt,Action|Crime|Drama
198259,Bon Voyage!,Children|Comedy
6233,Born Yesterday,Comedy|Romance
195079,Boys,Drama
148590,Brave,Drama
2507,Breakfast of Champions,Comedy|Sci-Fi
143385,Bridge of Spies,Drama|Thriller
50601,Bridge to Terabithia,Adventure|Children|Fantasy
6212,Bringing Down the House,Comedy
6889,Brother Bear,Adventure|Animation|Children
4732,Bubble Boy,Comedy
429,Cabin Boy,Comedy
7155,Calendar Girls,Comedy
6625,Camp Nowhere,Adventure|Children|Comedy
4091,Can't Buy Me Love,Comedy|Romance
122920,Captain America: Civil War,Action|Sci-Fi|Thriller
110102,Captain America: The Winter Soldier,Action|Adventure|Sci-Fi|IMAX
5582,Captain Ron,Adventure|Comedy
45517,Cars,Animation|Children|Comedy
87876,Cars 2,Adventure|Animation|Children|Comedy|IMAX
128862,Casanova,Comedy|Drama|Romance
710,Celtic Pride,Comedy
2039,Cheetah,Adventure|Children
197827,Chicken Little,Animation|Children
95069,Chimpanzee,Documentary
205873,Cinderella,Fantasy|Romance
142384,Cocktail,Drama|Romance
6751,Cold Creek Manor,Drama|Thriller
58291,College Road Trip,Comedy
436,Color of Night,Drama|Thriller
1552,Con Air,Action|Adventure|Thriller
67788,Confessions of a Shopaholic,Comedy|Romance
7316,Confessions of a Teenage Drama Queen,Comedy
6802,Consenting Adults,Thriller
1020,Cool Runnings,Comedy
4845,Corky Romano,Comedy|Crime
3110,Country,Drama
3825,Coyote Ugly,Comedy|Drama|Romance
3145,Cradle Will Rock,Drama
161,Crimson Tide,Drama|Thriller|War
7223,D.O.A.,Film-Noir|Mystery|Thriller
2042,D2: The Mighty Ducks,Children|Comedy
1005,D3: The Mighty Ducks,Children|Comedy
55267,Dan in Real Life,Comedy|Drama|Romance
31,Dangerous Minds,Drama
34143,Dark Water,Drama|Horror|Thriller
1246,Dead Poets Society,Drama
42,Dead Presidents,Action|Crime|Drama
33998,Deceived,Thriller
1762,Deep Rising,Action|Horror|Sci-Fi
106540,Delivery Man,Comedy
3146,Deuce Bigalow: Male Gigolo,Comedy
2616,Dick Tracy,Action|Crime
3615,Dinosaur,Adventure|Animation|Children
4583,Disorganized Crime,Action|Comedy
122922,Doctor Strange,Action|Animation|Children|Fantasy|Sci-Fi
86941,Double Take,Documentary
2566,Doug's 1st Movie,Animation|Children
5548,Down and Out in Beverly Hills,Comedy
3901,Duets,Comedy|Drama
188899,Déjà Vu,Drama|Romance
68522,Earth,Drama|War
235,Ed Wood,Comedy|Drama
656,Eddie,Comedy
43917,Eight Below,Action|Adventure|Drama|Romance
56152,Enchanted,Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance
3243,Encino Man,Comedy
2627,Endurance,Documentary|Drama
2353,Enemy of the State,Action|Thriller
4104,Ernest Goes to Camp,Comedy
5584,Ernest Goes to Jail,Comedy
4502,Ernest Saves Christmas,Children|Comedy
5585,Ernest Scared Stupid,Comedy
1416,Evita,Drama|Musical
1282,Fantasia,Animation|Children|Fantasy|Musical
8380,Father Hood,Comedy
6944,Father of the Bride,Comedy
5,Father of the Bride Part II,Comedy
167,Feast of July,Drama
157296,Finding Dory,Adventure|Animation|Comedy
