imdb_id,language,country,country_id
tt0115433,"English, Spanish","United States, United Kingdom",cs00
tt0211181,English,"United States, United Kingdom",cs01
tt0103594,"English, Spanish, Latin, Arabic","United Kingdom, France, Spain",cs02
tt0046672,English,United States,cs03
tt0307901,English,United States,cs04
tt0094137,English,United States,cs05
tt0098966,English,United States,cs06
tt0103596,English,United States,cs07
tt0109015,English,"United States, Japan",cs08
tt2800050,English,United States,cs09
tt0120623,English,United States,cs010
tt0120633,English,United States,cs011
tt0106868,English,"United States, United Kingdom",cs012
tt0113198,English,"United States, Australia, France, Canada",cs013
tt0104376,English,"United States, Japan",cs014
tt0113538,English,"United States, Hungary, United Kingdom",cs015
tt0391304,"English, American Sign ",United States,cs016
tt0110399,English,United States,cs017
tt0114210,English,United States,cs018
tt0111194,English,United States,cs019
tt0105483,"English, Yiddish, Hebrew",United States,cs020
tt0120323,English,United States,cs021
tt1620680,English,United States,cs022
tt0092513,English,United States,cs023
tt1223236,English,United States,cs024
tt0118570,English,"United States, Canada",cs025
tt0103639,English,United States,cs026
tt1698641,English,United States,cs027
tt2567026,English,United States,cs028
tt1014759,English,United States,cs029
tt0417415,English,United States,cs030
tt0106246,English,"United States, Canada",cs031
tt0082017,"English, American Sign ",United States,cs032
tt0118604,"English, French, German","United Kingdom, Netherlands, Luxembourg, United States, France, Germany",cs033
tt0097579,English,United States,cs034
tt0109127,English,United States,cs035
tt0109129,English,United States,cs036
tt0417433,English,United States,cs037
tt0106292,English,United States,cs038
tt0478970,English,United States,cs039
tt5095030,"English, Spanish, French","United States, Canada",cs040
tt0472043,Maya,United States,cs041
tt0099052,"English, Spanish",United States,cs042
tt0120591,"English, Russian, Indonesian",United States,cs043
tt0327437,"English, Cantonese, French, German, Hindi, Turkish","United States, Germany, Ireland, United Kingdom",cs044
tt0106315,English,United States,cs045
tt0230011,"English, French, Spanish",United States,cs046
tt2395427,"English, Korean",United States,cs047
tt4154796,"English, Japanese, Xhosa, German",United States,cs048
tt4154756,English,United States,cs049
tt0054649,English,United States,cs050
tt0088760,"English, French",United States,cs051
tt0112443,English,United States,cs052
tt0094715,English,United States,cs053
tt2458776,English,United States,cs054
tt0101414,"English, French",United States,cs055
tt0407569,English,USA,cs056
tt0066817,"English, German",United States,cs057
tt0960731,English,United States,cs058
tt0115645,English,United States,cs059
tt0120603,"Haitian, English",United States,cs060
tt0092638,English,United States,cs061
tt0099128,English,United States,cs062
tt1014775,English,"United States, Mexico",cs063
tt0182789,English,"United States, Germany",cs064
tt0094739,"English, Italian",United States,cs065
tt2245084,English,United States,cs066
tt0246464,English,United States,cs067
tt0101453,English,United States,cs068
tt1825683,"English, Swahili, Nama, Xhosa, Korean",United States,cs069
tt3480822,"English, Russian, Norwegian, Hungarian, Macedonian, Finnish",United States,cs070
tt0062737,English,United States,cs071
tt0103827,English,"United Kingdom, United States",cs072
tt0109287,English,United States,cs073
tt0096943,English,United States,cs074
tt0397892,English,United States,cs075
tt0055807,English,United States,cs076
tt0106466,English,United States,cs077
tt11155970,English,USA,cs078
tt0115742,"English, Spanish",United States,cs079
tt1217209,English,"United States, United Kingdom",cs080
tt0120618,English,United States,cs081
tt3682448,"English, German, Russian","United States, Germany, India",cs082
tt0398808,English,United States,cs083
tt0305669,English,United States,cs084
tt0328880,"English, Inuktitut, Croatian, Serbian",United States,cs085
tt0258470,English,United States,cs086
tt0109361,English,United States,cs087
tt0337909,English,"United Kingdom, United States",cs088
tt0109369,English,United States,cs089
tt0092718,English,United States,cs090
tt3498820,"English, German, Xhosa, Russian, Romanian, Hindi",United States,cs091
tt1843866,"English, French",United States,cs092
tt4154664,English,"United States, Australia",cs093
tt0103924,English,United States,cs094
tt0317219,"English, Italian, Japanese, Yiddish",United States,cs095
tt1216475,"English, Japanese, Italian, French",United States,cs096
tt3606752,English,United States,cs097
tt0402894,English,United States,cs098
tt0115851,English,United States,cs099
tt0097053,English,United States,cs0100
tt0371606,English,United States,cs0101
tt1222815,English,"United Kingdom, United States",cs0102
tt4575576,English,"United Kingdom, United States",cs0103
tt0042332,English,United States,cs0104
