imdb_id,meta_score,score_id
tt0115433,49.0,ms00
tt0211181,35.0,ms01
tt0103594,47.0,ms02
tt0046672,83.0,ms03
tt0307901,68.0,ms04
tt0094137,61.0,ms05
tt0098966,51.0,ms06
tt0103596,36.0,ms07
tt0109015,39.0,ms08
tt2800050,75.0,ms09
tt0120623,77.0,ms010
tt0120633,68.0,ms011
tt0106868,-1.0,ms012
tt0113198,-1.0,ms013
tt0104376,-1.0,ms014
tt0113538,34.0,ms015
tt0391304,48.0,ms016
tt0110399,-1.0,ms017
tt0114210,-1.0,ms018
tt0111194,-1.0,ms019
tt0105483,-1.0,ms020
tt0120323,-1.0,ms021
tt1620680,53.0,ms022
tt0092513,45.0,ms023
tt1223236,61.0,ms024
tt0118570,-1.0,ms025
tt0103639,86.0,ms026
tt1698641,54.0,ms027
tt2567026,34.0,ms028
tt1014759,53.0,ms029
tt0417415,71.0,ms030
tt0106246,56.0,ms031
tt0082017,-1.0,ms032
tt0118604,31.0,ms033
tt0097579,39.0,ms034
tt0109127,44.0,ms035
tt0109129,-1.0,ms036
tt0417433,37.0,ms037
tt0106292,53.0,ms038
tt0478970,64.0,ms039
tt5095030,70.0,ms040
tt0472043,68.0,ms041
tt0099052,67.0,ms042
tt0120591,42.0,ms043
tt0327437,49.0,ms044
tt0106315,32.0,ms045
tt0230011,52.0,ms046
tt2395427,66.0,ms047
tt4154796,78.0,ms048
tt4154756,68.0,ms049
tt0054649,55.0,ms050
tt0088760,-1.0,ms051
tt0112443,-1.0,ms052
tt0094715,46.0,ms053
tt2458776,68.0,ms054
tt0101414,95.0,ms055
tt0407569,-1.0,ms056
tt0066817,59.0,ms057
tt0960731,33.0,ms058
tt0115645,-1.0,ms059
tt0120603,57.0,ms060
tt0092638,53.0,ms061
tt0099128,52.0,ms062
tt1014775,41.0,ms063
tt0182789,42.0,ms064
tt0094739,53.0,ms065
tt2245084,74.0,ms066
tt0246464,47.0,ms067
tt0101453,-1.0,ms068
tt1825683,88.0,ms069
tt3480822,67.0,ms070
tt0062737,71.0,ms071
tt0103827,-1.0,ms072
tt0109287,42.0,ms073
tt0096943,67.0,ms074
tt0397892,67.0,ms075
tt0055807,-1.0,ms076
tt0106466,-1.0,ms077
tt11155970,-1.0,ms078
tt0115742,-1.0,ms079
tt1217209,69.0,ms080
tt0120618,42.0,ms081
tt3682448,81.0,ms082
tt0398808,74.0,ms083
tt0305669,39.0,ms084
tt0328880,48.0,ms085
tt0258470,41.0,ms086
tt0109361,21.0,ms087
tt0337909,60.0,ms088
tt0109369,-1.0,ms089
tt0092718,36.0,ms090
tt3498820,75.0,ms091
tt1843866,70.0,ms092
tt4154664,64.0,ms093
tt0103924,39.0,ms094
tt0317219,73.0,ms095
tt1216475,57.0,ms096
tt3606752,59.0,ms097
tt0402894,57.0,ms098
tt0115851,-1.0,ms099
tt0097053,-1.0,ms0100
tt0371606,48.0,ms0101
tt1222815,57.0,ms0102
tt4575576,60.0,ms0103
tt0042332,85.0,ms0104
tt0094889,12.0,ms0105
tt2380307,81.0,ms0106
tt0331468,37.0,ms0107
