imdb_id,awards,released,awards_id
tt0115433,Nominated for 1 BAFTA Film Award3 wins & 10 nominations total,27 Nov 1996,aw00
tt0211181,Nominated for 1 Oscar. 1 win & 8 nominations total,22 Nov 2000,aw01
tt0103594,2 nominations,09 Oct 1992,aw02
tt0046672,Won 2 Oscars. 5 wins & 3 nominations total,20 Jul 1955,aw03
tt0307901,4 wins & 17 nominations,10 Jan 2003,aw04
tt0094137,2 wins & 1 nomination,25 Nov 1987,aw05
tt0098966,2 nominations,21 Nov 1990,aw06
tt0103596,1 nomination,07 Aug 1992,aw07
tt0109015,3 nominations,06 May 1994,aw08
tt2800050,1 win & 1 nomination,29 Apr 2016,aw09
tt0120623,Nominated for 1 Oscar. 14 wins & 21 nominations total,25 Nov 1998,aw010
tt0120633,Nominated for 2 Oscars. 5 wins & 10 nominations total,08 Jan 1999,aw011
tt0106868,,12 Mar 1993,aw012
tt0113198,5 nominations,07 Apr 1995,aw013
tt0104376,,21 Aug 1992,aw014
tt0113538,1 nomination,11 Aug 1995,aw015
tt0391304,1 win & 3 nominations,22 Apr 2005,aw016
tt0110399,1 nomination,23 Nov 1994,aw017
tt0114210,,28 Apr 1995,aw018
tt0111194,2 nominations,02 Sep 1994,aw019
tt0105483,1 win & 3 nominations,17 Jul 1992,aw020
tt0120323,2 wins & 1 nomination,19 Sep 1997,aw021
tt1620680,5 wins & 15 nominations,09 Mar 2018,aw022
tt0092513,2 wins & 4 nominations,03 Jul 1987,aw023
tt1223236,3 nominations,22 Apr 2011,aw024
tt0118570,4 wins & 3 nominations,01 Aug 1997,aw025
tt0103639,Won 2 Oscars. 32 wins & 22 nominations total,25 Nov 1992,aw026
tt1698641,1 win & 8 nominations,10 Oct 2014,aw027
tt2567026,4 wins & 20 nominations,27 May 2016,aw028
tt1014759,Won 2 Oscars. 35 wins & 63 nominations total,05 Mar 2010,aw029
tt0417415,,25 Aug 2005,aw030
tt0106246,1 win & 1 nomination,15 Jan 1993,aw031
tt0082017,2 nominations,20 Mar 1981,aw032
tt0118604,3 wins & 1 nomination,25 Dec 1997,aw033
tt0097579,,06 Oct 1989,aw034
tt0109127,1 win & 4 nominations,15 Jul 1994,aw035
tt0109129,1 nomination,04 Mar 1994,aw036
tt0417433,,27 Jan 2006,aw037
tt0106292,1 nomination,23 Jul 1993,aw038
tt0478970,Nominated for 1 BAFTA Film Award4 wins & 34 nominations total,17 Jul 2015,aw039
tt5095030,2 wins & 21 nominations,06 Jul 2018,aw040
tt0472043,Nominated for 3 Oscars. 9 wins & 23 nominations total,08 Dec 2006,aw041
tt0099052,2 wins & 5 nominations,18 Jul 1990,aw042
tt0120591,Nominated for 4 Oscars. 15 wins & 40 nominations total,01 Jul 1998,aw043
tt0327437,2 wins & 2 nominations,16 Jun 2004,aw044
tt0106315,,22 Jan 1993,aw045
tt0230011,2 wins & 14 nominations,15 Jun 2001,aw046
tt2395427,8 wins & 51 nominations,01 May 2015,aw047
tt4154796,Nominated for 1 Oscar. 70 wins & 132 nominations total,26 Apr 2019,aw048
tt4154756,Nominated for 1 Oscar. 46 wins & 79 nominations total,27 Apr 2018,aw049
tt0054649,Nominated for 2 Oscars. 1 win & 6 nominations total,14 Dec 1961,aw050
tt0088760,1 nomination,22 Mar 1985,aw051
tt0112443,,20 Jan 1995,aw052
tt0094715,Nominated for 1 Oscar. 1 win & 6 nominations total,13 Jan 1989,aw053
tt2458776,2 nominations,18 Apr 2014,aw054
tt0101414,Won 2 Oscars. 31 wins & 32 nominations total,22 Nov 1991,aw055
tt0407569,,08 Oct 2002,aw056
tt0066817,Won 1 Oscar. 2 wins & 5 nominations total,13 Dec 1971,aw057
tt0960731,3 wins & 5 nominations,25 Dec 2008,aw058
tt0115645,,23 Feb 1996,aw059
tt0120603,Nominated for 1 Oscar. 3 wins & 24 nominations total,16 Oct 1998,aw060
tt0092638,1 win & 1 nomination,19 Jun 1987,aw061
tt0099128,3 nominations,22 Jun 1990,aw062
tt1014775,3 wins & 6 nominations,03 Oct 2008,aw063
tt0182789,Nominated for 1 Oscar. 2 wins & 8 nominations total,17 Dec 1999,aw064
tt0094739,1 win & 1 nomination,10 Jun 1988,aw065
tt2245084,Won 1 Oscar. 17 wins & 58 nominations total,07 Nov 2014,aw066
tt0246464,,05 Apr 2002,aw067
tt0101453,3 nominations,01 Nov 1991,aw068
tt1825683,Won 3 Oscars. 115 wins & 281 nominations total,16 Feb 2018,aw069
tt3480822,8 wins & 28 nominations,09 Jul 2021,aw070
tt0062737,,08 Feb 1968,aw071
tt0103827,,06 Mar 1992,aw072
tt0109287,,11 Feb 1994,aw073
tt0096943,Nominated for 1 Oscar. 1 win & 3 nominations total,13 Dec 1989,aw074
tt0397892,Nominated for 1 Oscar. 1 win & 32 nominations total,21 Nov 2008,aw075
tt0055807,Nominated for 2 Oscars. 2 nominations total,17 May 1962,aw076
tt0106466,1 nomination,26 Mar 1993,aw077
tt11155970,,29 Aug 2017,aw078
tt0115742,,10 May 1996,aw079
tt1217209,Won 1 Oscar. 20 wins & 48 nominations total,22 Jun 2012,aw080
tt0120618,1 nomination,18 Feb 1999,aw081
tt3682448,Won 1 Oscar. 30 wins & 103 nominations total,16 Oct 2015,aw082
tt0398808,6 wins & 5 nominations,16 Feb 2007,aw083
tt0305669,4 wins & 13 nominations,07 Mar 2003,aw084
tt0328880,Nominated for 1 Oscar. 2 wins & 22 nominations total,01 Nov 2003,aw085
tt0258470,1 nomination,24 Aug 2001,aw086
tt0109361,2 nominations,07 Jan 1994,aw087
tt0337909,2 wins & 16 nominations,01 Jan 2004,aw088
tt0109369,,26 Aug 1994,aw089
tt0092718,1 win & 3 nominations,14 Aug 1987,aw090
tt3498820,16 wins & 73 nominations,06 May 2016,aw091
tt1843866,Nominated for 1 Oscar. 5 wins & 52 nominations total,04 Apr 2014,aw092
tt4154664,9 wins & 56 nominations,08 Mar 2019,aw093
tt0103924,2 nominations,18 Sep 1992,aw094
tt0317219,Nominated for 2 Oscars. 28 wins & 34 nominations total,09 Jun 2006,aw095
tt1216475,1 win & 19 nominations,24 Jun 2011,aw096
tt3606752,1 win & 24 nominations,16 Jun 2017,aw097
tt0402894,5 wins & 3 nominations,06 Jan 2006,aw098
tt0115851,,19 Apr 1996,aw099
tt0097053,1 nomination,18 Aug 1989,aw0100
tt0371606,4 wins & 15 nominations,04 Nov 2005,aw0101
tt1222815,2 nominations,20 Apr 2012,aw0102
tt4575576,Nominated for 1 Oscar. 2 wins & 13 nominations total,03 Aug 2018,aw0103
tt0042332,Nominated for 3 Oscars. 6 wins & 7 nominations total,04 Mar 1950,aw0104
tt0094889,5 wins & 6 nominations,29 Jul 1988,aw0105
tt2380307,Won 2 Oscars. 109 wins & 40 nominations total,22 Nov 2017,aw0106
tt0331468,1 nomination,19 Sep 2003,aw0107
