title,director,release_year
Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson",2016
Ernest Saves Christmas,John Cherry,1988
Ice Age: A Mammoth Christmas,Karen Disher,2011
The Queen Family Singalong,Hamish Hamilton,2021
The Beatles: Get Back,,2021
Becoming Cousteau,Liz Garbus,2021
Hawkeye,,2021
Port Protection Alaska,,2015
Secrets of the Zoo: Tampa,,2019
A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,2008
Adventure Thru the Walt Disney Archives,John Gleim,2020
Puppy for Hanukkah,,2020
The Pixar Story,Leslie Iwerks,2007
"Dr. Oakley, Yukon Vet",,2013
America the Beautiful,,2021
Baymax!,,2021
Ciao Alberto,McKenna Harris,2021
Disney Fancy Nancy,,2018
Disney Intertwined,,2021
Enchanted,Kevin Lima,2007
Feast,Patrick Osborne,2014
Frozen Fever,"Chris Buck, Jennifer Lee",2015
Get a Horse!,Lauren MacMullan,2013
Home Sweet Home Alone,Dan Mazer,2021
Jungle Cruise,Jaume Collet-Serra,2021
Limitless with Chris Hemsworth,,2021
Marvel Studios’ 2021 Disney+ Day Special,,2021
Obi-Wan Kenobi,,2021
Olaf Presents,,2021
Paperman,John Kahrs,2012
Pixar 2021 Disney+ Day Special,,2021
Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,2021
Spin,Manjari Makijany,2021
Tangled Ever After,"Nathan Greno, Byron Howard",2012
The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",2011
The Little Matchgirl,Roger Allers,2006
The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,2021
The Proud Family: Louder and Prouder,,2021
The Simpsons in Plusaversary,David Silverman,2021
Tick Tock Tale,Dean Wellins,2010
Under the Helmet: The Legacy of Boba Fett,,2021
Willow,,2021
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,2011
Jingle All The Way,Brian Levant,1996
Jingle All the Way 2,Alex Zamm,2014
Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton",2010
Santa Buddies: The Legend of Santa Paws,Robert Vince,2009
Snow Buddies,Robert Vince,2008
Space Buddies,Robert Vince,2009
The Search for Santa Paws,Robert Vince,2010
X-Men: First Class,Matthew Vaughn,2011
Disney Amphibia,,2018
Photo Ark,,2017
Storm Rising,,2021
Bob Ballard: An Explorer's Life,,2021
"McFarland, USA",Niki Caro,2015
Rookie of the Year,Daniel Stern,1993
Thumbelina,"Don Bluth, Gary Goldman",1994
PJ Masks,,2015
The Wild Life of Dr. Ole,,2021
Lost Cities with Albert Lin: The Great Flood,Jim Greayer,2021
Megacity of the Maya Warriors,Ben Crichton,2021
Apollo: Back To The Moon,,2019
Just Beyond,,2021
Secrets Of The Zoo: Down Under,,2020
Secrets of the Zoo: North Carolina,,2020
The Wizard of Paws,,2021
Zombies: Addison's Moonstone Mystery,,2020
Just Roll With It: You Decide Live!,,2019
Mickey's Tale of Two Witches,Jeff Gordon,2021
Muppets Haunted Mansion,Kirk Thatcher,2021
The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,2021
Under Wraps,Alex Zamm,2021
Among the Stars,,2021
Black Widow,Cate Shortland,2021
Drain the Oceans,,2017
Drain The Oceans: The Mississippi River & Arctic War,,2021
Fauci,"John Hoffman, Janet Tobias",2021
IMPACT with Gal Gadot,,2021
The Ghost and Molly McGee,,2021
Alvin and the Chipmunks,Tim Hill,2007
Alvin and the Chipmunks: The Road Chip,Walt Becker,2015
LEGO Star Wars Terrifying Tales,Ken Cunningham,2021
Maleficent,Robert Stromberg,2014
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson",2017
Disney Vampirina,,2017
Disney's Magic Bake-Off,,2021
Great Barrier Reef,,2020
Ready for Preschool,,2019
Rolie Polie Olie,,1998
Star Wars Galaxy of Sounds,,2021
The Hatcher Family Dairy,,2021
The Simpsons,,1989
A Spark Story,"Jason Sterman, Leanne Dare",2021
Spooky Buddies,Robert Vince,2011
The Fault in Our Stars,Josh Boone,2014
Dog: Impossible,,2019
Spidey And His Amazing Friends,,2021
Star Wars: Visions,,2021
Confessions of a Shopaholic,P.J. Hogan,2009
Descendants: Royal Wedding,Salvador Simó,2021
Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,2016
Flooded Tombs of the Nile,Katie Bauer Murdock,2021
Jade Eyed Leopard,,2020
Nona,Louis Gonzales,2021
Smoky Mountain Park Rangers,,2021
Life Below Zero,,2012
Miraculous: Tales Of Ladybug & Cat Noir,,2015
Unknown Waters with Jeremy Wade,,2021
Far Away From Raven’s Home,,2021
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011
Twenty Something,Aphton Corbin,2021
"Doogie Kamealoha, M.D.",,2021
"Mira, Royal Detective",,2020
Pepper Ann,,1997
The Incredible Dr. Pol,,2011
Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne",2021
X-Men: Dark Phoenix,Simon Kinberg,2019
Alaska Animal Rescue,,2019
Dug Days,,2021
Cruella,Craig Gillespie,2021
Dan in Real Life,Peter Hedges,2007
Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,2021
Marvel One-Shot: All Hail the King,Drew Pearce,2014
Underdog,Frederik Du Chau,2007
Dr. K's Exotic Animal ER,,2014
Gigantosaurus,,2018
Life Below Zero: Next Generation,,2020
Eragon,Stefen Fangmeier,2006
Growing Up Animal,,2021
Fantastic Four,Tim Story,2005
X-Men,Bryan Singer,2000
America's Funniest Home Videos: Animal Edition,,2021
Chicken Squad,,2021
Disney Presents Goofy in How to Stay at Home,,2021
Gabby Duran And The Unsittables,,2018
What If...?,,2021
Beverly Hills Chihuahua 2,Alex Zamm,2011
Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,2012
Killer Shark vs Killer Whale,,2021
Mrs. Doubtfire,Chris Columbus,1993
Cesar Millan: Better Human Better Dog,,2021
Walt Disney Animation Studios: Short Circuit Experimental Films,,2020
Built for Mars: The Perseverance Rover,Mark J Davis,2021
Garfield,Peter Hewitt,2004
Chip 'n' Dale: Park Life,,2021
Critter Fixers: Country Vets,,2020
Disney Junior T.O.T.S.,,2018
Mickey Mouse Funhouse,,2021
Minnie's Bow-Toons: Party Palace Pals,,2021
Turning the Tables with Robin Roberts,,2021
Ice Age: The Meltdown,Carlos Saldanha,2006
Playing with Sharks,,2021
Shark vs. Surfer,Phil Stebbing,2020
Shark vs. Whale,,2020
Stuntman,Kurt Mattila,2021
Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale",2013
What the Shark?,,2020
Behind the Attraction,,2021
Disney The Owl House,,2020
Meet Spidey and His Amazing Friends (Shorts),,2021
Mission Force One,,2017
Turner & Hooch,,2021
Most Wanted Sharks,,2020
Secrets of the Bull Shark,,2020
Shark Attack Files,,2021
Shark Attack Investigation: The Paige Winter Story,,2021
Sharkcano,Andy Seestedt,2020
We Bought a Zoo,Cameron Crowe,2011
World's Biggest Bullshark,,2021
World's Most Dangerous Shark?,Kevin Bachar,2021
So Random!,,2011
Flicka,Michael Mayer,2006
"Miraculous World: Shanghai, The Legend of Ladydragon",Thomas Astruc,2021
Orca vs. Great White,Sigmund Spath Jr.,2021
Rogue Shark?,Mark Woodward,2021
Shark Beach with Chris Hemsworth,Sally Aitken,2021
Shark Gangs,"Jacob Cobi Benattia, Pete Berg, James Buchanan",2021
The Croc That Ate Jaws,Mark Woodward,2021
When Sharks Attack,,2013
Breaking Bobby Bones,,2021
Mickey Mouse Mixed-Up Adventures,,2019
Monsters at Work,,2021
"The Good, The Bart, and The Loki",David Silverman,2021
Disney Raven's Home,,2016
The Sandlot,David Mickey Evans,1993
The Sandlot 2,David Mickey Evans,2005
Adventures in Babysitting,Chris Columbus,1987
Running Wild with Bear Grylls,,2019
The Mysterious Benedict Society,,2021
Wolfgang,David Gelb,2021
Dino Ranch,,2021
Disney Just Roll With It,,2018
"Heartland Docs, DVM",,2019
Luca,Enrico Casarosa,2021
Star Wars Vintage: Droids,,1985
Puppy Dog Pals,,2016
Strange Magic,Gary Rydstrom,2015
The Happiest Millionaire,Norman Tokar,1967
The Pacifier,Adam Shankman,2005
Zenimation,,2020
