Character,Original voice actor,Animated debut
22,Tina Fey[1],Soul
Aaron T.,Topher Ngo[2],Turning Red
Aaron Z.,Josh Levi[2],Turning Red
Abby Park,Hyein Park[2],Turning Red
Abominable Snowman,John Ratzenberger[3][4],"Monsters, Inc."
Acer,Peter Jacobson[5],Cars 2
A.J.,Jess Harnell[6],Up
Al McWhiggin,Wayne Knight[7],Toy Story 2
Alberto Scorfano,Jack Dylan Grazer[8],Luca
Alec Azam,Doug Sweetland[9],Presto
Alfredo Linguini,Lou Romano[10],Ratatouille
Aliens,Jeff Pidgeon[7][11][12],Toy Story
Alpha,Bob Peterson[6],Up
Anchor,Eric Bana[13],Finding Nemo
André,None[14],The Adventures of André & Wally B.
Andy Davis,John Morris[7][11][12],Toy Story
Andy's Mom,Laurie Metcalf[7][11][12],Toy Story
Anger,Lewis Black[15],Inside Out
Anton Ego,Peter O'Toole[10],Ratatouille
Arlo,Raymond Ochoa[16],The Good Dinosaur
Art,Charlie Day[4],Monsters University
Auguste Gusteau,Brad Garrett[10],Ratatouille
"Augustus ""Spike"" Jones",None[3],"Monsters, Inc."
AUTO,MacInTalk[17],WALL-E
Avel,George Psarras[18],Onward
Baboso Gortega,None[4],Monsters University
Babs,Lori Richardson[19],Partysaurus Rex
Baby Smitty,Sophia Ranft[3],"Monsters, Inc."
Babyface,None[11],Toy Story
Bailey,Ty Burrell[20],Finding Dory
Barbie,Jodi Benson[12],Toy Story 3
Barley Lightfoot,Chris Pratt[18],Onward
Bass,None[21],One Man Band
Becky,Torbin Bullock[20],Finding Dory
Benson,Steve Purcell[22],Toy Story 4
Bernie Kropp,Lou Romano[23],The Incredibles
Berto Rivera,Luis Valdez[24],Coco
Beta,Delroy Lindo[6],Up
Billy,Sárközi Olivér[25],Tin Toy
Bing Bong,Richard Kind[15],Inside Out
BIRD-E,None[17],WALL-E
Bloat,Brad Garrett[13][20],Finding Nemo
Bob Gunderson,None[4],Monsters University
Bonnie,Emily Hahn,Toy Story 3
Bonnie's Mom,Lori Alan,Toy Story 3
Bo Peep,Annie Potts[7][11],Toy Story
Bomb Voyage,Dominique Louis[23],The Incredibles
Boo,Mary Gibbs[3],"Monsters, Inc."
Bookworm,Richard Kind[12],Toy Story 3
Prof. Brandywine,None[4],Monsters University
Brent Mustangburger,Brent Musburger[5],Cars 2
Brian,None[4],Monsters University
Britney Davis,Beth Behrs[4],Monsters University
BRL-A,None[17],WALL-E
Brock Pearson,Tyler Labine[4],Monsters University
Bruce,Barry Humphries[13],Finding Nemo
Brynn Larson,None[4],Monsters University
Bubbles,Stephen Root[13][20],Finding Nemo
Buck,Marcus Scribner[16],The Good Dinosaur
BUF-4,None[17],WALL-E
Bullseye,None,Toy Story 2
Bunny,Jordan Peele[22],Toy Story 4
BURN-E,Angus MacLane[17][26],WALL-E
Buster,Frank Welker[7],Toy Story 2
Butch,Sam Elliott[16],The Good Dinosaur
Buttercup,Jeff Garlin[12],Toy Story 3
Buzz Lightyear,Tim Allen[7][11][12]Chris Evans,Toy Story
CA-E,None[17],WALL-E
Cal Weathers,Kyle Petty[27],Cars 3
Captain B. McCrea,Jeff Garlin[17],WALL-E
Capn Suds,Corey Burton[19],Partysaurus Rex
Carl Fredricksen,Edward Asner[6],Up
"Carla ""Killer Claws"" Benitez",None[4],Monsters University
Carla Delgado,None[4],Monsters University
Carrie Williams,Beth Behrs[4],Monsters University
CARSTIC,None[17],WALL-E
CART-IS,None[17],WALL-E
CDA agents,Teddy Newton[3],"Monsters, Inc."
Celia Mae,Jennifer Tilly[3],"Monsters, Inc."
Charles F. Muntz,Christopher Plummer[6],Up
Charlie Proctor,Phil Proctor[3],"Monsters, Inc."
Chatter Telephone,Teddy Newton[12],Toy Story 3
Chen,Lori Tan Chinn[2],Turning Red
Chet Alexander,Bobby Moynihan[4],Monsters University
Chicharrón,Edward James Olmos[24],Coco
